ANO_ELEICAO;CD_TIPO_ELEICAO;NR_TURNO;TP_ABRANGENCIA;ID_UF;CD_CARGO;NR_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO
2022;2;1;ESTADUAL;10;7;22500;FERNANDO CRENTE;22
2022;2;1;ESTADUAL;19;6;3000;RENÊ FREITAS;30
2022;2;1;ESTADUAL;23;7;20620;MARIA;20
2022;2;1;ESTADUAL;26;6;1944;DR ROGER LIN;19
2022;2;1;ESTADUAL;23;7;45888;PROFESSOR BONATTO;45
2022;2;1;ESTADUAL;23;6;7723;JAQUELINE KITTELMANN;77
2022;2;1;ESTADUAL;22;7;40789;CHRIS DO BLUSÃO;40
2022;2;1;ESTADUAL;26;7;22122;DRA MARCIA TAPIGLIANI;22
2022;2;1;ESTADUAL;26;6;3073;TONY OLIVEIRA;30
2022;2;1;ESTADUAL;19;6;3015;HERMAN GUEDES;30
2022;2;1;ESTADUAL;14;7;40222;LUIZ HENRIQUE JSB;40
2022;2;1;ESTADUAL;7;8;27227;CRISTIANE DE PAULA;27
2022;2;1;ESTADUAL;16;6;2707;PAULA CAVALCANTI;27
2022;2;1;ESTADUAL;19;6;2222;SORAYA SANTOS;22
2022;2;1;ESTADUAL;5;6;2210;NETINHO DA BAHIA;22
2022;2;1;ESTADUAL;2;7;22444;IVANOVITE;22
2022;2;1;ESTADUAL;20;7;40333;DELEGADO NATANION;40
2022;2;1;ESTADUAL;26;6;4512;FERNANDO MESTRE SALA;45
2022;2;1;ESTADUAL;12;7;15144;GENERAL ADALBERTO MUNIZ;15
2022;2;1;ESTADUAL;3;6;1415;MAGAL DO SOCIAL;14
2022;2;1;ESTADUAL;19;7;28700;VITOR PAULO;28
2022;2;1;ESTADUAL;11;7;27077;ZÉ ARLÊNIO;27
2022;2;1;ESTADUAL;27;7;44123;VANDA MONTEIRO;44
2022;2;1;ESTADUAL;7;8;77222;DR SAMI YASSINE;77
2022;2;1;ESTADUAL;27;7;23222;EDUARDO DO DERTINS;23
2022;2;1;ESTADUAL;24;7;22333;NEURI MANTELLI;22
2022;2;1;ESTADUAL;26;6;2900;LISIA SAKAI;29
2022;2;1;ESTADUAL;27;6;1522;FERREIRINHA;15
2022;2;1;ESTADUAL;26;6;4551;VANDERLEI MACRIS;45
2022;2;1;ESTADUAL;26;6;4023;RENATINHO SE LIGUE;40
2022;2;1;ESTADUAL;19;7;28789;BETE DA PHOENIX;28
2022;2;1;ESTADUAL;15;6;2899;EMILLY COELHO;28
2022;2;1;ESTADUAL;27;6;2788;SGT ISAIAS;27
2022;2;1;ESTADUAL;7;6;1221;CARLOS PENNA;12
2022;2;1;ESTADUAL;6;7;44700;SARGENTO BERG;44
2022;2;1;ESTADUAL;21;6;1414;NEEMIAS MUNIZ;14
2022;2;1;ESTADUAL;18;7;33174;BATATA O REPÓRTER DO POVO;33
2022;2;1;ESTADUAL;5;7;10849;APOSTOLO CESAR CONCEIÇÃO;10
2022;2;1;ESTADUAL;23;7;11222;GLÁUCIA SCHUMACHER;11
